,current price,original staicker price,% increase in price,site,model name,model year,brand
0,1858.46,699.0,165.87%,eBay,GeForce RTX 3080,2020,Nvidia
1,1143.74,599.0,90.94%,eBay,GeForce RTX 3070 Ti,2021,Nvidia
2,1093.87,399.0,174.15%,eBay,GeForce RTX 3060 Ti,2020,Nvidia
3,707.44,399.0,77.3%,eBay,GeForce RTX 2070 Super,2019,Nvidia
4,922.95,799.0,15.51%,eBay,GeForce RTX 2080,2018,Nivida
5,922.95,699.0,32.04%,eBay,GeForce RTX 2080,2019,Nvidia
6,338.48,159.0,112.88%,eBay,GeForce GTX 1650 Super,2019,Nvidia
7,476.15,229.0,107.93%,eBay,GeForce GTX 1660 Super,2019,Nvidia
8,438.8,219.0,100.37%,eBay,GeForce GTX 1660,2019,Nvidia
9,386.01,379.0,1.85%,eBay,GeForce GTX 1070,2016,Nvidia
10,448.8,450.0,-0.27%,eBay,GeForce GTX 1070 Ti,2017,Nvidia
11,485.94,700.0,-30.58%,eBay,GeForce GTX 1080,2016,Nvidia
12,187.12,329.0,-43.12%,eBay,GeForce GTX 970,2014,Nvidia
13,298.57,549.0,-45.62%,eBay,GeForce GTX 980,2014,Nvidia
